seed_id,target,program_structure,concrete_opcode_or_interaction,instruction_family,input,native_verify_accept,executed_steps,register_writebacks,static_writeback_sites,main_symbol_range,opcode_census,guest_source,guest_elf
op_add,pico,Single operation,ADD,base-ALU,"0x123456789ABCDEF0,13",true,5184,4661,4554,0x200bb8-0x200d50,ADD:941:991 ADDW:12:13 AND:248:261 AUIPC:22:29 JALR:19:25 LB:16:16 LBU:73:73 LD:384:399 LW:18:18 LWU:8:8 MUL:17:18 OR:671:672 SLL:665:667 SLLW:8:8 SLTU:12:16 SRL:27:27 SRLW:682:682 SUB:15:20 SUBW:8:8 XOR:708:710,guests/lacuna_seeds/src/bin/op_add.rs,guests/lacuna_seeds/elf/op_add
op_sub,pico,Single operation,SUB,base-ALU,"0x123456789ABCDEF0,13",true,5184,4661,4554,0x200bb8-0x200d50,ADD:940:990 ADDW:12:13 AND:248:261 AUIPC:22:29 JALR:19:25 LB:16:16 LBU:73:73 LD:384:399 LW:18:18 LWU:8:8 MUL:17:18 OR:671:672 SLL:665:667 SLLW:8:8 SLTU:12:16 SRL:27:27 SRLW:682:682 SUB:16:21 SUBW:8:8 XOR:708:710,guests/lacuna_seeds/src/bin/op_sub.rs,guests/lacuna_seeds/elf/op_sub
op_xor,pico,Single operation,XOR,base-ALU,"0x123456789ABCDEF0,13",true,5184,4661,4554,0x200bb8-0x200d50,ADD:940:990 ADDW:12:13 AND:248:261 AUIPC:22:29 JALR:19:25 LB:16:16 LBU:73:73 LD:384:399 LW:18:18 LWU:8:8 MUL:17:18 OR:671:672 SLL:665:667 SLLW:8:8 SLTU:12:16 SRL:27:27 SRLW:682:682 SUB:15:20 SUBW:8:8 XOR:709:711,guests/lacuna_seeds/src/bin/op_xor.rs,guests/lacuna_seeds/elf/op_xor
op_or,pico,Single operation,OR,base-ALU,"0x123456789ABCDEF0,13",true,5184,4661,4554,0x200bb8-0x200d50,ADD:940:990 ADDW:12:13 AND:248:261 AUIPC:22:29 JALR:19:25 LB:16:16 LBU:73:73 LD:384:399 LW:18:18 LWU:8:8 MUL:17:18 OR:672:673 SLL:665:667 SLLW:8:8 SLTU:12:16 SRL:27:27 SRLW:682:682 SUB:15:20 SUBW:8:8 XOR:708:710,guests/lacuna_seeds/src/bin/op_or.rs,guests/lacuna_seeds/elf/op_or
op_and,pico,Single operation,AND,base-ALU,"0x123456789ABCDEF0,13",true,5184,4661,4554,0x200bb8-0x200d50,ADD:940:990 ADDW:12:13 AND:249:262 AUIPC:22:29 JALR:19:25 LB:16:16 LBU:73:73 LD:384:399 LW:18:18 LWU:8:8 MUL:17:18 OR:671:672 SLL:665:667 SLLW:8:8 SLTU:12:16 SRL:27:27 SRLW:682:682 SUB:15:20 SUBW:8:8 XOR:708:710,guests/lacuna_seeds/src/bin/op_and.rs,guests/lacuna_seeds/elf/op_and
op_sll,pico,Single operation,SLL,base-ALU,"0x123456789ABCDEF0,13",true,5163,4640,4533,0x200bb8-0x200cfc,ADD:940:990 ADDW:12:13 AND:248:261 AUIPC:22:29 JALR:19:25 LB:16:16 LBU:66:66 LD:384:399 LW:18:18 LWU:8:8 MUL:17:18 OR:664:665 SLL:659:661 SLLW:8:8 SLTU:12:16 SRL:27:27 SRLW:682:682 SUB:15:20 SUBW:8:8 XOR:708:710,guests/lacuna_seeds/src/bin/op_sll.rs,guests/lacuna_seeds/elf/op_sll
op_srl,pico,Single operation,SRL,base-ALU,"0x123456789ABCDEF0,13",true,5163,4640,4533,0x200bb8-0x200cfc,ADD:940:990 ADDW:12:13 AND:248:261 AUIPC:22:29 JALR:19:25 LB:16:16 LBU:66:66 LD:384:399 LW:18:18 LWU:8:8 MUL:17:18 OR:664:665 SLL:658:660 SLLW:8:8 SLTU:12:16 SRL:28:28 SRLW:682:682 SUB:15:20 SUBW:8:8 XOR:708:710,guests/lacuna_seeds/src/bin/op_srl.rs,guests/lacuna_seeds/elf/op_srl
op_sra,pico,Single operation,SRA,base-ALU,"0x123456789ABCDEF0,13",true,5163,4640,4533,0x200bb8-0x200cfc,ADD:940:990 ADDW:12:13 AND:248:261 AUIPC:22:29 JALR:19:25 LB:16:16 LBU:66:66 LD:384:399 LW:18:18 LWU:8:8 MUL:17:18 OR:664:665 SLL:658:660 SLLW:8:8 SLTU:12:16 SRA:1:1 SRL:27:27 SRLW:682:682 SUB:15:20 SUBW:8:8 XOR:708:710,guests/lacuna_seeds/src/bin/op_sra.rs,guests/lacuna_seeds/elf/op_sra
op_slt,pico,Single operation,SLT,base-ALU,"0x123456789ABCDEF0,13",true,5184,4661,4554,0x200bb8-0x200d50,ADD:940:990 ADDW:12:13 AND:248:261 AUIPC:22:29 JALR:19:25 LB:16:16 LBU:73:73 LD:384:399 LW:18:18 LWU:8:8 MUL:17:18 OR:671:672 SLL:665:667 SLLW:8:8 SLT:1:1 SLTU:12:16 SRL:27:27 SRLW:682:682 SUB:15:20 SUBW:8:8 XOR:708:710,guests/lacuna_seeds/src/bin/op_slt.rs,guests/lacuna_seeds/elf/op_slt
op_sltu,pico,Single operation,SLTU,base-ALU,"0x123456789ABCDEF0,13",true,5184,4661,4554,0x200bb8-0x200d50,ADD:940:990 ADDW:12:13 AND:248:261 AUIPC:22:29 JALR:19:25 LB:16:16 LBU:73:73 LD:384:399 LW:18:18 LWU:8:8 MUL:17:18 OR:671:672 SLL:665:667 SLLW:8:8 SLTU:13:17 SRL:27:27 SRLW:682:682 SUB:15:20 SUBW:8:8 XOR:708:710,guests/lacuna_seeds/src/bin/op_sltu.rs,guests/lacuna_seeds/elf/op_sltu
op_mul,pico,Single operation,MUL,M-extension,"0x123456789ABCDEF0,13",true,5184,4661,4554,0x200bb8-0x200d50,ADD:940:990 ADDW:12:13 AND:248:261 AUIPC:22:29 JALR:19:25 LB:16:16 LBU:73:73 LD:384:399 LW:18:18 LWU:8:8 MUL:18:19 OR:671:672 SLL:665:667 SLLW:8:8 SLTU:12:16 SRL:27:27 SRLW:682:682 SUB:15:20 SUBW:8:8 XOR:708:710,guests/lacuna_seeds/src/bin/op_mul.rs,guests/lacuna_seeds/elf/op_mul
op_mulh,pico,Single operation,MULH,M-extension,"0x123456789ABCDEF0,13",true,5184,4661,4554,0x200bb8-0x200d50,ADD:940:990 ADDW:12:13 AND:248:261 AUIPC:22:29 JALR:19:25 LB:16:16 LBU:73:73 LD:384:399 LW:18:18 LWU:8:8 MUL:17:18 MULH:1:1 OR:671:672 SLL:665:667 SLLW:8:8 SLTU:12:16 SRL:27:27 SRLW:682:682 SUB:15:20 SUBW:8:8 XOR:708:710,guests/lacuna_seeds/src/bin/op_mulh.rs,guests/lacuna_seeds/elf/op_mulh
op_mulhu,pico,Single operation,MULHU,M-extension,"0x123456789ABCDEF0,13",true,5184,4661,4554,0x200bb8-0x200d50,ADD:940:990 ADDW:12:13 AND:248:261 AUIPC:22:29 JALR:19:25 LB:16:16 LBU:73:73 LD:384:399 LW:18:18 LWU:8:8 MUL:17:18 MULHU:1:1 OR:671:672 SLL:665:667 SLLW:8:8 SLTU:12:16 SRL:27:27 SRLW:682:682 SUB:15:20 SUBW:8:8 XOR:708:710,guests/lacuna_seeds/src/bin/op_mulhu.rs,guests/lacuna_seeds/elf/op_mulhu
op_div,pico,Single operation,DIV,M-extension,"0x123456789ABCDEF0,13",true,5188,4664,4557,0x200bb8-0x200d64,ADD:941:991 ADDW:12:13 AND:248:261 AUIPC:22:29 DIV:1:1 JALR:19:25 LB:16:16 LBU:73:73 LD:384:399 LW:18:18 LWU:8:8 MUL:17:18 OR:672:673 SLL:666:668 SLLW:8:8 SLTU:12:16 SRL:27:27 SRLW:682:682 SUB:15:20 SUBW:8:8 XOR:708:710,guests/lacuna_seeds/src/bin/op_div.rs,guests/lacuna_seeds/elf/op_div
op_divu,pico,Single operation,DIVU,M-extension,"0x123456789ABCDEF0,13",true,5185,4662,4555,0x200bb8-0x200d54,ADD:940:990 ADDW:12:13 AND:248:261 AUIPC:22:29 DIVU:1:1 JALR:19:25 LB:16:16 LBU:73:73 LD:384:399 LW:18:18 LWU:8:8 MUL:17:18 OR:672:673 SLL:665:667 SLLW:8:8 SLTU:12:16 SRL:27:27 SRLW:682:682 SUB:15:20 SUBW:8:8 XOR:708:710,guests/lacuna_seeds/src/bin/op_divu.rs,guests/lacuna_seeds/elf/op_divu
op_rem,pico,Single operation,REM,M-extension,"0x123456789ABCDEF0,13",true,5187,4663,4556,0x200bb8-0x200d64,ADD:941:991 ADDW:12:13 AND:248:261 AUIPC:22:29 JALR:19:25 LB:16:16 LBU:73:73 LD:384:399 LW:18:18 LWU:8:8 MUL:17:18 OR:672:673 REM:1:1 SLL:665:667 SLLW:8:8 SLTU:12:16 SRL:27:27 SRLW:682:682 SUB:15:20 SUBW:8:8 XOR:708:710,guests/lacuna_seeds/src/bin/op_rem.rs,guests/lacuna_seeds/elf/op_rem
